0,Word,Definition,Example,Weight,Quiz_Marked,Hangman_Marked
1,anachronism,"a thing belonging or appropriate to a period other than that in which it exists, especially a thing that is conspicuously old-fashioned",the town is a throwback to medieval times an anachronism that has survived the passing years,8,false,false
2,obscure,not discovered or known about; uncertain; not cleary expressed or easily understood,Marketers worry that their ads will linger unseen in obscure slots,9,false,false
3,plausibility,quality of seeming reasonable,there aren't much evidences that support the plausibility of the theory,9,false,false
4,superficial,"existing or occuring at or on surface; appearing to be true or real only until examined more closely; not thorough, deep, or complete",we ignored the news case because of its it was superficial,9,false,false
5,apotheosis,the highest point in development,the artist was at the apotheosis of his career,10,false,false
6,underscore,emphasize,the need for fire detectors in cargo bays was underscored by some accidents in the 1980s.,11,false,false
7,temperance,abstinence or restricting oneself from alcoholic drink,export of spirits was hampered by the temperance movement,13,false,false
8,eminence,fame or acknowledged superiority within a particular field,her eminence in cinematography,10,false,false
9,tumultuous,"excited, confused or disorderly",a tumultuous crowd,11,false,false
10,providential,lucky; occurring at a favourable time,Sam's dangerous and providential escape made her tremble,9,false,false
11,precarious,dependent on chance; not securely held or in position; dangerously likely to fall or collapse,Yet London's position is more precarious than it feels. The city's success over the past quarter-century has been the consequence of historical accident and good policy.,6,false,false
12,abstinent,refraining from an activity,Sarah knows that alcoholism runs in her family. That's why she's chosen to be totally abstinent from alcohol.,5,false,false
13,relentless,harshly constant,the relentless heat of the desert,8,false,false
14,coterie,a small group of people with shared interests or tastes,He rules through a tight coterie of loyal aides,9,false,false
15,invariably,constantly; always,ranch meals are invariably big and hearty,7,false,false
16,vie,compete eagerly with someone in order to do or achieve something,the athletes vied for a place in the British team,9,false,false
17,preposterous,ridiculous,a preposterous attempt to turn back the pages of history,9,false,false
18,insidious,working in a subtle but destructive way,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems.",8,false,false
19,akimbo,hands on hip and elbows pointed outwards,"she stood with her arms akimbo, frowning at the small boy",8,false,false
20,feign,pretend; fake,He feigned that he was ill,9,false,false
21,implore,request earnestly,we implored him to reconsider his decision,8,false,false
22,lackey,servile follower,lackeys were waiting to help them from the carriage,6,false,false
23,albeit,though,"he was making progress, albeit rather slowly",6,false,false
24,grudgingly,reluctantly or resentfully,I grudgingly accepted his apology,9,false,false
25,presumptuous,over confident,hope I won't be considered presumptuous if I offer some advice,8,false,false
26,impenitent,not feeling shame or regret,she has remained impenitent of her mistake,7,false,false
27,erstwhile,former,the erstwhile president of the company,10,false,false
28,shun,persistently avoid or ignore,he shunned fashionable society,8,false,false
29,harbinger,something that announces or signals a future event,witch hazels are the harbingers of spring0,8,false,false
30,prophetic,predicting future,his warnings proved prophetic,9,false,false
31,rife,full of; widespread,speculation ran rife that he was an arms dealer,6,false,false
32,speculate,to form a theory without firm evidence,my colleagues speculate about my private life,7,false,false
33,exacting,demanding accuracy,"Though his childhood piano teacher was so exacting, Max is thankful now, having become a professional pianist.",7,false,false
34,copious, abundant in supply or quantity,with copious food and water the chickens will survive this winter,8,false,false
35,scathing,severely critical; damaging,she launched a scathing attack on the prime minister,6,false,false
36,meticulous,with careful attention to details,"Overconfident students may understand how to solve math problems but not be meticulous in their calculations, resulting in wrong answers.",7,false,false
37,acerbic,harsh in tone,"Most movie critics are�acerbic�towards summer blockbusters, often referring to them as garbage.",6,false,false
38,humdrum,lacking excitement or variety; boring,"After one year in this office, the job has started to become humdrum",7,false,false
39,cerebral,intellectual rather than emotional or physical,these problems require a cerebral approach rather than just mindlessly reading through them,8,false,false
40,proclivity,a tendency to choose or do something regularly,Hary's proclivity for practicing algorithms is what got him a job,6,false,false
41,flout,"openly disregard (a rule, law, or convention)",Once in a while you tend to find some inventions that seem to flout what rules we know about physics,7,false,false
42,obsequious,obedient or attentive to an excessive or servile degree,but at the time of need her obsequious followers abandoned her,8,false,false
43,deify,worship or regard as god,the crowed almost deified the captain for winning a round that everyone thought was lost,7,false,false
44,congenial,pleasant; suited,this office at home has proved to be quiet congenial for me,8,false,false
45,loquacious,talkative,"despite her shy nature, once she had a few drinks her loquacious self managed to grab attention of many people at the bar",6,false,false
46,wary,feeling or showing caution about possible danger or problems,Loki's reputation has made his friends wary of him,7,false,false
47,misnomer,wrong or inaccurate name or designation,The name Greenland is a misnomer because most of the land there is covered in white snow.,8,false,false
48,pragmatic,guided by practical experience and observation rather than theory,critical reasoning requires a pragmatic approach of evaluation of the topic ,8,false,false
49,capricious,given to sudden change in behaviour or mood,It is the capricious weather at the high altitude that accounts for the fatality rate of Mt. Everest,7,false,false
50,daunting,intimidating,solving these problems from the internet can sometimes be quiet daunting,8,false,false
51,insipid,lacking flavour or interest,months with the same food has started feeling insipid,6,false,false
